,Confirm,Death
31-Jan,2,0
1-Feb,2,0
2-Feb,2,0
3-Feb,2,0
4-Feb,2,0
5-Feb,2,0
6-Feb,2,0
7-Feb,3,0
8-Feb,3,0
9-Feb,3,0
10-Feb,8,0
11-Feb,8,0
12-Feb,9,0
13-Feb,9,0
14-Feb,9,0
15-Feb,9,0
16-Feb,9,0
17-Feb,9,0
18-Feb,9,0
19-Feb,9,0
20-Feb,9,0
21-Feb,9,0
22-Feb,9,0
23-Feb,9,0
24-Feb,13,0
25-Feb,13,0
26-Feb,13,0
27-Feb,15,0
28-Feb,20,0
29-Feb,23,0
1-Mar,36,0
2-Mar,40,0
3-Mar,51,0
4-Mar,85,0
5-Mar,115,1
6-Mar,163,2
7-Mar,206,2
8-Mar,273,3
9-Mar,321,4
10-Mar,382,6
11-Mar,459,8
12-Mar,459,8
13-Mar,801,8
14-Mar,1143,21
15-Mar,1144,21
16-Mar,1551,56
17-Mar,1960,56
18-Mar,2642,72
19-Mar,2716,138
20-Mar,4014,178
21-Mar,5067,234
22-Mar,5741,282
23-Mar,6726,336
24-Mar,8164,423
25-Mar,9640,466
26-Mar,11812,580
27-Mar,14745,761
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
