date,confirm,death,2018,2019,2020,confirm_increase,death_increase
01/31,2.0,0.0,1.419,1.3135,1.3195,0.0,0.0
02/01,2.0,0.0,1.4247,1.3094,1.3006,0.0,0.0
02/02,2.0,0.0,1.4126,1.3068,1.3006,0.0,0.0
02/03,2.0,0.0,1.4022,1.3068,1.3006,0.0,0.0
02/04,2.0,0.0,1.4022,1.3068,1.3029,0.0,0.0
02/05,2.0,0.0,1.4022,1.2947,1.3,0.0,0.0
02/06,2.0,0.0,1.3951,1.2956,1.2935,0.0,0.0
02/07,3.0,0.0,1.3881,1.2966,1.2908,1.0,0.0
02/08,3.0,0.0,1.3915,1.2933,1.2919,0.0,0.0
02/09,3.0,0.0,1.3794,1.2862,1.2919,0.0,0.0
02/10,8.0,0.0,1.382,1.2862,1.2919,5.0,0.0
02/11,8.0,0.0,1.382,1.2862,1.2945,0.0,0.0
02/12,9.0,0.0,1.382,1.2887,1.2978,1.0,0.0
02/13,9.0,0.0,1.3892,1.2865,1.3051,0.0,0.0
02/14,9.0,0.0,1.3955,1.2793,1.3039,0.0,0.0
02/15,9.0,0.0,1.4061,1.2857,1.3017,0.0,0.0
02/16,9.0,0.0,1.4055,1.3036,1.3017,0.0,0.0
02/17,9.0,0.0,1.4021,1.3036,1.3017,0.0,0.0
02/18,9.0,0.0,1.4021,1.3036,1.3017,0.0,0.0
02/19,9.0,0.0,1.4021,1.3036,1.2934,0.0,0.0
02/20,9.0,0.0,1.4021,1.306,1.2877,0.0,0.0
02/21,9.0,0.0,1.3946,1.306,1.2966,0.0,0.0
02/22,9.0,0.0,1.3939,1.3067,1.2923,0.0,0.0
02/23,9.0,0.0,1.3979,1.3059,1.2923,0.0,0.0
02/24,13.0,0.0,1.3952,1.3059,1.2923,4.0,0.0
02/25,13.0,0.0,1.3952,1.3059,1.3004,0.0,0.0
02/26,13.0,0.0,1.3952,1.3252,1.2921,0.0,0.0
02/27,15.0,0.0,1.3906,1.3318,1.2876,2.0,0.0
02/28,20.0,0.0,1.3794,1.3274,1.2778,5.0,0.0
02/29,23.0,0.0,1.3755,1.3222,1.2791,3.0,0.0
03/01,36.0,0.0,1.3755,1.3222,1.2791,13.0,0.0
03/02,40.0,0.0,1.3769,1.3186,1.2791,4.0,0.0
03/03,51.0,0.0,1.3856,1.3186,1.2827,11.0,0.0
03/04,85.0,0.0,1.3856,1.3186,1.2836,34.0,0.0
03/05,115.0,1.0,1.3856,1.3141,1.2939,30.0,1.0
03/06,163.0,2.0,1.3886,1.3148,1.301,48.0,1.0
03/07,206.0,2.0,1.3888,1.3107,1.31,43.0,0.0
03/08,273.0,3.0,1.3824,1.301,1.31,67.0,1.0
03/09,321.0,4.0,1.3863,1.3095,1.31,48.0,1.0
03/10,382.0,6.0,1.3898,1.3095,1.2933,61.0,2.0
03/11,459.0,8.0,1.3898,1.3095,1.2887,77.0,2.0
03/12,459.0,8.0,1.3898,1.3101,1.2541,0.0,0.0
03/13,801.0,8.0,1.3987,1.3230000000000002,1.2406,342.0,0.0
03/14,1143.0,21.0,1.3946,1.3281,1.2278,342.0,13.0
03/15,1144.0,21.0,1.3951,1.3278,1.2278,1.0,0.0
03/16,1551.0,56.0,1.3919,1.3223,1.2278,407.0,35.0
03/17,1960.0,56.0,1.4032,1.3223,1.2017,409.0,0.0
03/18,2642.0,72.0,1.4032,1.3223,1.176,682.0,16.0
03/19,2716.0,138.0,1.4032,1.3263,1.1662,74.0,66.0
03/20,4014.0,178.0,1.4013,1.3191,1.1743,1298.0,40.0
03/21,5067.0,234.0,1.4064,1.3073,1.1492,1053.0,56.0
03/22,5741.0,282.0,1.4098,1.3219,1.1492,674.0,48.0
03/23,6726.0,336.0,1.4151,1.3203,1.1492,985.0,54.0
03/24,8164.0,423.0,1.4236,1.3203,1.1784,1438.0,87.0
03/25,9640.0,466.0,1.4236,1.3203,1.1763,1476.0,43.0
03/26,11812.0,580.0,1.4236,1.3215,1.214,2172.0,114.0
03/27,14745.0,761.0,1.4161,1.3192,1.236,2933.0,181.0
03/28,17312.0,1457.0,1.411,1.3088,1.2392,2567.0,696.0
03/29,19780.0,1672.0,1.4029,1.3032,1.2392,2468.0,215.0
03/30,22453.0,2046.0,1.4027,1.3144,1.2392,2673.0,374.0
03/31,25481.0,2429.0,1.4032,1.3144,1.2454,3028.0,383.0
04/01,29865.0,3100.0,1.4032,1.3144,1.2394,4384.0,671.0
04/02,34173.0,3752.0,1.4032,1.3035,1.238,4308.0,652.0
04/03,38689.0,4467.0,1.4068,1.3181,1.2228,4516.0,715.0
04/04,42477.0,5228.0,1.4076,1.3072,1.2298,3788.0,761.0
04/05,48436.0,5874.0,1.3991,1.301,1.2298,5959.0,646.0
04/06,52279.0,6445.0,1.4088,1.3048,1.2298,3843.0,571.0
04/07,55949.0,7483.0,1.4136,1.3048,1.2343,3670.0,1038.0
04/08,61474.0,8519.0,1.4136,1.3048,1.2394,5525.0,1036.0
04/09,65872.0,9623.0,1.4136,1.3048,1.2458,4398.0,1104.0
04/10,74605.0,10776.0,1.4161,1.31,1.2485,8733.0,1153.0
04/11,79874.0,11616.0,1.4194,1.3068,1.2518,5269.0,840.0
04/12,85206.0,12302.0,1.4244,1.3086,1.2518,5332.0,686.0
04/13,89570.0,13047.0,1.4255,1.3105,1.2518,4364.0,745.0
04/14,94845.0,14095.0,1.4332,1.3105,1.2617,5275.0,1048.0
04/15,99483.0,14941.0,1.4332,1.3105,1.2523,4638.0,846.0
04/16,104145.0,15974.0,1.4332,1.3049,1.2433,4662.0,1033.0
04/17,109769.0,16910.0,1.4301,1.3036,1.2503,5624.0,936.0
04/18,115314.0,18028.0,1.4227,1.3003,1.2467,5545.0,1118.0
04/19,121172.0,18527.0,1.4193,1.3003,1.2467,5858.0,499.0
04/20,125856.0,19092.0,1.4033,1.2983,1.2467,4684.0,565.0
04/21,130172.0,20264.0,1.3953,1.2983,1.2266,4316.0,1172.0
04/22,134638.0,21111.0,1.3953,1.2983,1.2332,4466.0,847.0
04/23,139246.0,21840.0,1.3953,1.2943,1.2369,4608.0,729.0
04/24,144640.0,22853.0,1.3975,1.2947,1.2335,5394.0,1013.0
04/25,149569.0,23697.0,1.3941,1.2901,1.2421,4929.0,844.0
04/26,154037.0,24117.0,1.3927,1.2930000000000001,1.2421,4468.0,420.0
04/27,158348.0,24458.0,1.3785,1.2924,1.2421,4311.0,341.0
04/28,162350.0,25369.0,1.3751,1.2924,1.2438,4002.0,911.0
04/29,166441.0,26166.0,1.3751,1.2924,1.2429,4091.0,797.0
04/30,172481.0,26842.0,1.3751,1.3030000000000002,1.2602,6040.0,676.0
05/01,178685.0,27583.0,1.3611,1.3091,1.2509,6204.0,741.0
